ID,Plan Task,Sprint,Status,Owner,Dependencies,Primary Output,Verification,Notes
item-001,TASK-001,Sprint 1,verified,codex,None,App scaffold and backend command boundary,npm test passed; npm run build passed; npm audit passed; tauri CLI available; native Tauri build passed,Started first because it has no dependencies
item-002,TASK-002,Sprint 1,verified,codex,item-001,SQLite schema and migrations,cargo test passed; npm test passed; npm run build passed; native Tauri build passed,Implemented Rust AppStore migrations and persistence smoke tests
item-003,TASK-003,Sprint 1,verified,codex,item-002,Keychain credential store,cargo test passed; macOS keychain smoke passed; npm test passed; native Tauri build passed,Implemented credential store interface and macOS Keychain storage
item-004,TASK-004,Sprint 1,verified,codex,item-003,OpenRouter provider setup,cargo test passed; npm test passed; native Tauri build passed,Implemented provider setup service and disclosure state
item-005,TASK-005,Sprint 1,verified,codex,item-004; item-002,Active-session credential reference rules,cargo test passed; npm test passed; native Tauri build passed,Implemented session credential/model capture and active-session update guard
item-006,TASK-006,Sprint 1,verified,codex,item-002,Project registration and Git status,cargo test passed; npm test passed; native Tauri build passed,Implemented Git project registration and status inspection
item-007,TASK-007,Sprint 1,verified,codex,item-006,Project-root path resolver,cargo test passed; npm test passed; native Tauri build passed,Implemented resolver for traversal symlink and secret-deny handling
item-008,TASK-008,Sprint 2,verified,codex,item-007,Read-only project browser and AGENTS display,cargo test passed; npm test passed; native Tauri build passed,Implemented read-only browser and passive AGENTS display API
item-009,TASK-009,Sprint 1,verified,codex,item-005; item-007,Hardened OpenCode runtime launcher,cargo test passed; npm test passed; native Tauri build passed,Implemented supervised runtime launcher skeleton and adapter refs
item-010,TASK-010,Sprint 1,verified,codex,item-009; item-002,Runtime event stream normalizer,cargo test passed; npm test passed; native Tauri build passed,Implemented fixture-driven event normalization into app-owned records
item-011,TASK-011,Sprint 1,verified,codex,item-009; item-008,Instruction preflight and disclosure,cargo test passed; npm test passed; native Tauri build passed,Implemented instruction inventory redaction and disclosure persistence
item-012,TASK-012,Sprint 1,verified,codex,item-010,Runtime stop and crash interruption mapping,cargo test passed; npm test passed; native Tauri build passed,Implemented supervised stop and restart interruption mapping
item-013,TASK-013,Sprint 2,verified,codex,item-007; item-010,Protected action classifier,cargo test passed; npm test passed; native Tauri build passed,Implemented file shell and git action classification
item-014,TASK-014,Sprint 2,verified,codex,item-013,Approval prompt state and ledger,cargo test passed; npm test passed; native Tauri build passed,Implemented in-memory pending approvals and durable answered approval ledger
item-015,TASK-015,Sprint 2,verified,codex,item-014,Session allow and structured denial results,cargo test passed; npm test passed; native Tauri build passed,Implemented narrow shell session allow and structured denial results
item-016,TASK-016,Sprint 2,verified,codex,item-015; item-007,File tool policy execution,cargo test passed; npm test passed; native Tauri build passed,Implemented read executor write proposal approved write and batch caps
item-017,TASK-017,Sprint 2,verified,codex,item-015,Shell executor and environment filter,cargo test passed; npm test passed; native Tauri build passed,Implemented filtered environment and project-root shell executor
item-018,TASK-018,Sprint 2,verified,codex,item-017,Shell output summary policy,cargo test passed; npm test passed; native Tauri build passed,Implemented safe shell output redaction truncation and omission markers
item-019,TASK-019,Sprint 2,verified,codex,item-010; item-014; item-018,Tool timeline and ledger UI,cargo test passed; npm test passed; native Tauri build passed,Implemented safe tool timeline projection and minimal UI status surface
item-020,TASK-020,Sprint 3,verified,codex,item-010; item-002,Session transcript and runtime state UI,cargo test passed; npm test passed; npm run build passed; native Tauri build passed,Implemented session screen projection transcript append order runtime states failure display and one-active-session guard
item-021,TASK-021,Sprint 3,verified,codex,item-014; item-019,Approval prompt UI,cargo test passed; npm test passed; native Tauri build passed,Implemented prompt projection for file writes batch writes shell destructive shell Git changes deny and policy block states
item-022,TASK-022,Sprint 3,verified,codex,item-012; item-020,Stop retry and restart recovery UX,cargo test passed; npm test passed; native Tauri build passed,Implemented stop controls retry-as-append restart recovery banners minimized-window messaging and pending approval discard policy
item-023,TASK-023,Sprint 3,verified,codex,item-006; item-019,Changed files and diff viewer,cargo test passed; npm test passed; native Tauri build passed,Implemented changed-file list diff view refresh projection and logged-not-gated Git inspection metadata
item-024,TASK-024,Sprint 3,verified,codex,item-002; item-019,Text-like artifact records and viewer,cargo test passed; npm test passed; native Tauri build passed,Implemented artifact metadata storage app-managed files passive text viewer provenance redaction and no search/export/rich rendering
item-025,TASK-025,Sprint 3,verified,codex,item-001 through item-024,MVP technical test suite,cargo test passed; npm test passed; npm run build passed; native Tauri build passed,Full automated local technical suite passes
item-026,TASK-026,Sprint 3,verified,codex,item-025,App-build and product QA gates,macOS arm64 local build and automated QA passed; Windows 11 x64 compatibility explicitly re-scoped out of public MVP release,Created validation report; release scope approved without Windows 11 x64 validation for this MVP
item-027,Sprint-4,Sprint 4,verified,codex,item-026,Stabilization and release prep,npm test passed; npm run build passed; cargo test passed; native Tauri build passed,Documented run/build flow added dev-server root-route regression coverage recorded release checklist and verified gates
